2023-01-01 21:05:45,225 [INFO ]  loading data graphnn/data/qm9.db
2023-01-02 02:52:56,893 [INFO ]  step=2590000, energy_mae=0.00988511, energy_rmse=0.0274283, total_loss=0.000752312, train_loss=4.44451e+11
2023-01-02 02:57:48,439 [INFO ]  step=2595000, energy_mae=0.0100024, energy_rmse=0.0273215, total_loss=0.000746465, train_loss=4.42444e+11
2023-01-02 03:02:39,873 [INFO ]  step=2600000, energy_mae=0.00998156, energy_rmse=0.0272978, total_loss=0.000745171, train_loss=4.46464e+11
2023-01-02 03:07:31,846 [INFO ]  step=2605000, energy_mae=0.00997645, energy_rmse=0.0272633, total_loss=0.000743286, train_loss=4.42194e+11
2023-01-02 03:12:23,892 [INFO ]  step=2610000, energy_mae=0.00987444, energy_rmse=0.0271342, total_loss=0.000736265, train_loss=4.42037e+11
2023-01-02 03:17:15,815 [INFO ]  step=2615000, energy_mae=0.0105016, energy_rmse=0.0273629, total_loss=0.00074873, train_loss=4.39352e+11
2023-01-02 03:22:07,406 [INFO ]  step=2620000, energy_mae=0.01021, energy_rmse=0.0272384, total_loss=0.000741928, train_loss=4.35963e+11
2023-01-02 03:26:58,931 [INFO ]  step=2625000, energy_mae=0.0102089, energy_rmse=0.027538, total_loss=0.000758344, train_loss=4.46629e+11
2023-01-02 03:31:50,231 [INFO ]  step=2630000, energy_mae=0.0101055, energy_rmse=0.0271032, total_loss=0.000734584, train_loss=4.37238e+11
2023-01-02 03:36:41,358 [INFO ]  step=2635000, energy_mae=0.0100484, energy_rmse=0.0271462, total_loss=0.000736915, train_loss=4.43059e+11
2023-01-02 03:41:32,869 [INFO ]  step=2640000, energy_mae=0.0103165, energy_rmse=0.0272499, total_loss=0.000742556, train_loss=4.35136e+11
2023-01-02 03:46:24,307 [INFO ]  step=2645000, energy_mae=0.00977348, energy_rmse=0.02723, total_loss=0.000741472, train_loss=4.37229e+11
2023-01-02 03:51:16,570 [INFO ]  step=2650000, energy_mae=0.00989965, energy_rmse=0.0271649, total_loss=0.00073793, train_loss=4.31727e+11
2023-01-02 03:56:08,065 [INFO ]  step=2655000, energy_mae=0.0100096, energy_rmse=0.0271547, total_loss=0.00073738, train_loss=4.30101e+11
2023-01-02 04:00:59,321 [INFO ]  step=2660000, energy_mae=0.0101585, energy_rmse=0.0277093, total_loss=0.000767804, train_loss=4.32194e+11
2023-01-02 04:05:51,787 [INFO ]  step=2665000, energy_mae=0.010011, energy_rmse=0.0273201, total_loss=0.000746386, train_loss=4.35514e+11
2023-01-02 04:10:43,278 [INFO ]  step=2670000, energy_mae=0.00972136, energy_rmse=0.0272841, total_loss=0.000744422, train_loss=4.29463e+11
2023-01-02 04:15:35,248 [INFO ]  step=2675000, energy_mae=0.0102247, energy_rmse=0.0272435, total_loss=0.00074221, train_loss=4.24583e+11
2023-01-02 04:20:27,073 [INFO ]  step=2680000, energy_mae=0.00983077, energy_rmse=0.027242, total_loss=0.000742129, train_loss=4.27816e+11
2023-01-02 04:25:19,014 [INFO ]  step=2685000, energy_mae=0.00987802, energy_rmse=0.0271261, total_loss=0.000735826, train_loss=4.22643e+11
2023-01-02 04:30:11,030 [INFO ]  step=2690000, energy_mae=0.0100613, energy_rmse=0.027368, total_loss=0.000749006, train_loss=4.28214e+11
2023-01-02 04:35:02,659 [INFO ]  step=2695000, energy_mae=0.00979044, energy_rmse=0.0272224, total_loss=0.000741061, train_loss=4.27248e+11
2023-01-02 04:39:54,610 [INFO ]  step=2700000, energy_mae=0.00992251, energy_rmse=0.0269349, total_loss=0.00072549, train_loss=4.24375e+11
2023-01-02 04:44:46,381 [INFO ]  step=2705000, energy_mae=0.00982289, energy_rmse=0.0273048, total_loss=0.000745552, train_loss=4.20014e+11
2023-01-02 04:49:38,605 [INFO ]  step=2710000, energy_mae=0.011418, energy_rmse=0.0278248, total_loss=0.000774217, train_loss=4.21741e+11
2023-01-02 04:54:29,867 [INFO ]  step=2715000, energy_mae=0.00998781, energy_rmse=0.0275642, total_loss=0.000759786, train_loss=4.21296e+11
2023-01-02 04:59:21,506 [INFO ]  step=2720000, energy_mae=0.0105989, energy_rmse=0.0277232, total_loss=0.000768574, train_loss=4.1898e+11
2023-01-02 05:04:12,824 [INFO ]  step=2725000, energy_mae=0.00975327, energy_rmse=0.0269024, total_loss=0.000723738, train_loss=4.18764e+11
2023-01-02 05:09:04,453 [INFO ]  step=2730000, energy_mae=0.00982457, energy_rmse=0.0275032, total_loss=0.000756425, train_loss=4.16507e+11
2023-01-02 05:13:56,124 [INFO ]  step=2735000, energy_mae=0.00964698, energy_rmse=0.0269013, total_loss=0.000723678, train_loss=4.1859e+11
2023-01-02 05:18:47,978 [INFO ]  step=2740000, energy_mae=0.00954373, energy_rmse=0.0271263, total_loss=0.000735835, train_loss=4.14401e+11
2023-01-02 05:23:39,798 [INFO ]  step=2745000, energy_mae=0.00971708, energy_rmse=0.0269299, total_loss=0.000725221, train_loss=4.11053e+11
2023-01-02 05:28:31,643 [INFO ]  step=2750000, energy_mae=0.00980253, energy_rmse=0.0272213, total_loss=0.000740999, train_loss=4.10758e+11
2023-01-02 05:33:23,286 [INFO ]  step=2755000, energy_mae=0.0101707, energy_rmse=0.0270515, total_loss=0.000731785, train_loss=4.14006e+11
2023-01-02 05:38:14,719 [INFO ]  step=2760000, energy_mae=0.00994838, energy_rmse=0.0272751, total_loss=0.000743932, train_loss=4.08639e+11
2023-01-02 05:43:06,728 [INFO ]  step=2765000, energy_mae=0.00964844, energy_rmse=0.0269678, total_loss=0.000727261, train_loss=4.16186e+11
2023-01-02 05:47:59,516 [INFO ]  step=2770000, energy_mae=0.00999401, energy_rmse=0.0273506, total_loss=0.000748057, train_loss=4.09543e+11
2023-01-02 05:52:51,478 [INFO ]  step=2775000, energy_mae=0.0096995, energy_rmse=0.0269686, total_loss=0.000727303, train_loss=4.11967e+11
2023-01-02 05:57:43,407 [INFO ]  step=2780000, energy_mae=0.00961022, energy_rmse=0.0270332, total_loss=0.000730793, train_loss=4.09005e+11
2023-01-02 06:02:35,241 [INFO ]  step=2785000, energy_mae=0.00997315, energy_rmse=0.0271295, total_loss=0.000736012, train_loss=4.06279e+11
2023-01-02 06:07:26,710 [INFO ]  step=2790000, energy_mae=0.0105322, energy_rmse=0.0275619, total_loss=0.000759656, train_loss=4.07108e+11
2023-01-02 06:12:17,940 [INFO ]  step=2795000, energy_mae=0.0106777, energy_rmse=0.0275951, total_loss=0.000761489, train_loss=4.04897e+11
2023-01-02 06:17:09,280 [INFO ]  step=2800000, energy_mae=0.0096412, energy_rmse=0.0270976, total_loss=0.00073428, train_loss=4.04034e+11
2023-01-02 06:22:01,025 [INFO ]  step=2805000, energy_mae=0.0101228, energy_rmse=0.0273976, total_loss=0.000750627, train_loss=4.02921e+11
2023-01-02 06:26:52,505 [INFO ]  step=2810000, energy_mae=0.00958187, energy_rmse=0.0271648, total_loss=0.000737928, train_loss=4.00722e+11
2023-01-02 06:31:43,892 [INFO ]  step=2815000, energy_mae=0.00959882, energy_rmse=0.027064, total_loss=0.000732458, train_loss=4.01358e+11
2023-01-02 06:36:35,325 [INFO ]  step=2820000, energy_mae=0.0100614, energy_rmse=0.0272793, total_loss=0.00074416, train_loss=4.05524e+11
2023-01-02 06:41:26,905 [INFO ]  step=2825000, energy_mae=0.0100334, energy_rmse=0.0273227, total_loss=0.000746532, train_loss=3.98541e+11
2023-01-02 06:46:18,094 [INFO ]  step=2830000, energy_mae=0.0104383, energy_rmse=0.0272947, total_loss=0.000745002, train_loss=4.03311e+11
2023-01-02 06:51:09,831 [INFO ]  step=2835000, energy_mae=0.0096148, energy_rmse=0.0268935, total_loss=0.000723258, train_loss=3.95816e+11
2023-01-02 06:56:01,261 [INFO ]  step=2840000, energy_mae=0.0102887, energy_rmse=0.0274534, total_loss=0.000753687, train_loss=3.98693e+11
2023-01-02 07:00:52,607 [INFO ]  step=2845000, energy_mae=0.0108525, energy_rmse=0.0275948, total_loss=0.000761472, train_loss=3.98058e+11
2023-01-02 07:05:44,088 [INFO ]  step=2850000, energy_mae=0.0106104, energy_rmse=0.0276342, total_loss=0.000763648, train_loss=3.91521e+11
2023-01-02 07:10:35,538 [INFO ]  step=2855000, energy_mae=0.00991269, energy_rmse=0.0270602, total_loss=0.000732256, train_loss=3.94721e+11
2023-01-02 07:15:26,953 [INFO ]  step=2860000, energy_mae=0.00997153, energy_rmse=0.0272731, total_loss=0.000743823, train_loss=3.89514e+11
2023-01-02 07:20:18,754 [INFO ]  step=2865000, energy_mae=0.01114, energy_rmse=0.0279299, total_loss=0.000780077, train_loss=3.9543e+11
2023-01-02 07:25:09,907 [INFO ]  step=2870000, energy_mae=0.0103466, energy_rmse=0.0273551, total_loss=0.0007483, train_loss=3.88549e+11
2023-01-02 07:30:01,328 [INFO ]  step=2875000, energy_mae=0.00965411, energy_rmse=0.027153, total_loss=0.000737284, train_loss=3.92637e+11
2023-01-02 07:34:52,984 [INFO ]  step=2880000, energy_mae=0.00973304, energy_rmse=0.0274009, total_loss=0.00075081, train_loss=3.93908e+11
2023-01-02 07:39:44,715 [INFO ]  step=2885000, energy_mae=0.00989247, energy_rmse=0.0272992, total_loss=0.000745244, train_loss=3.85002e+11
2023-01-02 07:44:36,006 [INFO ]  step=2890000, energy_mae=0.00993151, energy_rmse=0.0274345, total_loss=0.000752654, train_loss=3.89709e+11
2023-01-02 07:49:28,113 [INFO ]  step=2895000, energy_mae=0.00987042, energy_rmse=0.0274915, total_loss=0.000755783, train_loss=3.82005e+11
2023-01-02 07:54:19,708 [INFO ]  step=2900000, energy_mae=0.00979751, energy_rmse=0.026981, total_loss=0.000727976, train_loss=3.84082e+11
2023-01-02 07:59:11,203 [INFO ]  step=2905000, energy_mae=0.0101982, energy_rmse=0.0276524, total_loss=0.000764654, train_loss=3.90332e+11
2023-01-02 08:04:02,873 [INFO ]  step=2910000, energy_mae=0.00986283, energy_rmse=0.0269975, total_loss=0.000728865, train_loss=3.88241e+11
2023-01-02 08:08:54,490 [INFO ]  step=2915000, energy_mae=0.00972007, energy_rmse=0.0273106, total_loss=0.000745871, train_loss=3.80148e+11
2023-01-02 08:13:46,335 [INFO ]  step=2920000, energy_mae=0.00979984, energy_rmse=0.027325, total_loss=0.000746655, train_loss=3.81332e+11
2023-01-02 08:18:37,784 [INFO ]  step=2925000, energy_mae=0.00982336, energy_rmse=0.0270447, total_loss=0.000731416, train_loss=3.8232e+11
2023-01-02 08:23:29,242 [INFO ]  step=2930000, energy_mae=0.00947916, energy_rmse=0.0270633, total_loss=0.000732423, train_loss=3.80885e+11
2023-01-02 08:28:20,548 [INFO ]  step=2935000, energy_mae=0.00962996, energy_rmse=0.0272972, total_loss=0.000745139, train_loss=3.69921e+11
2023-01-02 08:33:12,221 [INFO ]  step=2940000, energy_mae=0.011241, energy_rmse=0.0278344, total_loss=0.000774755, train_loss=3.80628e+11
2023-01-02 08:38:04,008 [INFO ]  step=2945000, energy_mae=0.00957165, energy_rmse=0.0270049, total_loss=0.000729262, train_loss=3.72805e+11
2023-01-02 08:42:55,615 [INFO ]  step=2950000, energy_mae=0.0102732, energy_rmse=0.0273481, total_loss=0.000747918, train_loss=3.76831e+11
2023-01-02 08:47:47,928 [INFO ]  step=2955000, energy_mae=0.0105589, energy_rmse=0.0275339, total_loss=0.000758118, train_loss=3.75309e+11
2023-01-02 08:52:39,467 [INFO ]  step=2960000, energy_mae=0.00999195, energy_rmse=0.0268628, total_loss=0.000721612, train_loss=3.72251e+11
2023-01-02 08:57:30,546 [INFO ]  step=2965000, energy_mae=0.00991324, energy_rmse=0.0275054, total_loss=0.000756548, train_loss=3.77466e+11
2023-01-02 09:02:21,995 [INFO ]  step=2970000, energy_mae=0.00949745, energy_rmse=0.0272647, total_loss=0.000743363, train_loss=3.72411e+11
2023-01-02 09:07:13,555 [INFO ]  step=2975000, energy_mae=0.00961812, energy_rmse=0.027232, total_loss=0.000741582, train_loss=3.70971e+11
2023-01-02 09:12:04,950 [INFO ]  step=2980000, energy_mae=0.00967534, energy_rmse=0.0270249, total_loss=0.000730344, train_loss=3.77642e+11
2023-01-02 09:16:56,170 [INFO ]  step=2985000, energy_mae=0.00974426, energy_rmse=0.0272456, total_loss=0.000742321, train_loss=3.69906e+11
2023-01-02 09:21:47,502 [INFO ]  step=2990000, energy_mae=0.00925268, energy_rmse=0.0267984, total_loss=0.000718151, train_loss=3.67351e+11
2023-01-02 09:26:38,796 [INFO ]  step=2995000, energy_mae=0.0093896, energy_rmse=0.027216, total_loss=0.000740711, train_loss=3.6879e+11
2023-01-02 09:31:30,400 [INFO ]  step=2999999, energy_mae=0.00955585, energy_rmse=0.0271739, total_loss=0.000738421, train_loss=3.69217e+11
2023-01-02 09:31:30,401 [INFO ]  Max steps reached, exiting
